GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Airport,es.ull.passengers,Passenger,34,55,5,5,4,19,5,8,1,7
Airport,es.ull.flights,Flight,5,68,1,3,1,17,1,7,0,6
